k	cluster	item	itemConsensus
646	3	2	TCGA.CV.5966.01	0.959596140261926
647	3	2	TCGA.CV.6955.01	0.211757568121792
648	3	2	TCGA.CV.7091.01	0.929174698898423
649	3	2	TCGA.CV.7100.01	0.967748645298064
650	3	2	TCGA.CV.7235.01	0.917950231425192
651	3	2	TCGA.CV.7407.01	0.958495408787069
652	3	2	TCGA.CV.7425.01	0.95038585391348
653	3	2	TCGA.CV.7427.01	0.965358326550231
654	3	2	TCGA.CV.7434.01	0.956195456052002
655	3	2	TCGA.CV.A468.01	0.96987868749211
656	3	2	TCGA.CV.A6JD.01	0.962071797493434
657	3	2	TCGA.CV.A6JE.01	0.952218479176287
658	3	2	TCGA.CV.A6JN.01	0.959309793651209
659	3	2	TCGA.CV.A6JZ.01	0.958137712157115
660	3	2	TCGA.CX.7082.01	0.154639562495375
661	3	2	TCGA.CX.A4AQ.01	0.940209612347995
662	3	2	TCGA.D6.6516.01	0.957480131485569
663	3	2	TCGA.D6.A6EN.01	0.962361398520467
664	3	2	TCGA.DQ.7596.01	0.958140783159315
665	3	2	TCGA.F7.A624.01	0.963163829718874
666	3	2	TCGA.H7.7774.01	0.923126419303913
667	3	2	TCGA.H7.8501.01	0.963393355917376
668	3	2	TCGA.HD.7832.01	0.0305976339247952
669	3	2	TCGA.HD.A6I0.01	0.959357095755929
670	3	2	TCGA.HL.7533.01	0.919383270121525
671	3	2	TCGA.KU.A6H7.01	0.962168811719215
672	3	2	TCGA.MT.A51W.01	0.509850203607401
673	3	2	TCGA.MT.A67F.01	0.962697172091595
674	3	2	TCGA.P3.A5Q5.01	0.960522309635272
675	3	2	TCGA.P3.A6SW.01	0.963438803108303
676	3	2	TCGA.QK.A64Z.01	0.152071046186108
677	3	2	TCGA.QK.A6IF.01	0.967266212725186
678	3	2	TCGA.QK.A6IG.01	0.940284841071968
679	3	2	TCGA.QK.A6IJ.01	0.96578441009836
680	3	2	TCGA.QK.A6V9.01	0.962749088604849
681	3	2	TCGA.QK.A8Z9.01	0.17055770745758
682	3	2	TCGA.RS.A6TP.01	0.237012751122102
683	3	2	TCGA.T2.A6X0.01	0.960347875456333
684	3	2	TCGA.T2.A6X2.01	0.965542395807218
685	3	2	TCGA.T3.A92N.01	0.96495678895922
686	3	2	TCGA.UF.A7JT.01	0.966029370901151
687	3	2	TCGA.CV.7428.01	0.579591849026938
688	3	2	TCGA.CV.7254.01	0.61115687107385
689	3	2	TCGA.RS.A6TO.01	0.165687185468376
690	3	2	TCGA.CV.7099.01	0.059574901768617
691	3	2	TCGA.CQ.A4CB.01	0.024199873537276
692	3	2	TCGA.UF.A7JO.01	0.0187712195093453
693	3	3	TCGA.CQ.6218.01	0.0373480365392283
694	3	3	TCGA.BA.5558.01	0.00842580799263332
695	3	3	TCGA.CV.6948.01	0.0363012611577681
696	3	3	TCGA.CV.7409.01	0.0984321685705003
697	3	3	TCGA.CQ.6220.01	0.0458802094466926
698	3	3	TCGA.CN.4731.01	0.0395368523735421
699	3	3	TCGA.CQ.6223.01	0.0355209553913444
700	3	3	TCGA.CV.5436.01	0.0386675423975496
701	3	3	TCGA.CQ.5324.01	0.0444419034232972
702	3	3	TCGA.CN.4726.01	0.0414736363537811
703	3	3	TCGA.CR.7369.01	0.0409808553501327
704	3	3	TCGA.CV.7252.01	0.0325722274185049
705	3	3	TCGA.CV.A464.01	0.0379989235327261
706	3	3	TCGA.CX.7219.01	0.0369552615398838
707	3	3	TCGA.HD.7754.01	0.0350447538545823
708	3	3	TCGA.CV.7095.01	0.0361606159267538
709	3	3	TCGA.P3.A5Q6.01	0.0452751092246185
710	3	3	TCGA.CV.7178.01	0.0346038676453266
711	3	3	TCGA.BA.A6D8.01	0.952377446228177
712	3	3	TCGA.BA.6872.01	0.953942823507899
713	3	3	TCGA.CN.4728.01	0.95000826001508
714	3	3	TCGA.CN.4740.01	0.962446148084592
715	3	3	TCGA.CN.5364.01	0.958304067186758
716	3	3	TCGA.CN.6016.01	0.957271512722181
717	3	3	TCGA.CN.6018.01	0.949831226638621
718	3	3	TCGA.CN.6994.01	0.959117416418068
719	3	3	TCGA.CN.A63V.01	0.462551302852216
720	3	3	TCGA.CQ.5326.01	0.954200972077595
721	3	3	TCGA.CQ.5332.01	0.0664447795926241
722	3	3	TCGA.CQ.6227.01	0.0427126246583517
723	3	3	TCGA.CQ.6228.01	0.0433793438552365
724	3	3	TCGA.CQ.7069.01	0.951431495773583
725	3	3	TCGA.CQ.7072.01	0.950909393791088
726	3	3	TCGA.CQ.A4CI.01	0.0396757269561447
727	3	3	TCGA.CR.5247.01	0.913752767496543
728	3	3	TCGA.CR.6484.01	0.952880087236143
729	3	3	TCGA.CR.7365.01	0.96005375230168
730	3	3	TCGA.CR.7367.01	0.957197426331328
731	3	3	TCGA.CV.6937.01	0.962134321345325
732	3	3	TCGA.CV.7090.01	0.948882192550287
733	3	3	TCGA.CV.7097.01	0.95306588959046
734	3	3	TCGA.CV.7102.01	0.962464699251513
735	3	3	TCGA.CV.7263.01	0.958543481503387
736	3	3	TCGA.CV.7413.01	0.953342738452417
737	3	3	TCGA.CV.7423.01	0.807250102394006
738	3	3	TCGA.CV.7435.01	0.955266197943957
739	3	3	TCGA.CV.A45X.01	0.95705936684466
740	3	3	TCGA.DQ.7590.01	0.954609838703685
741	3	3	TCGA.HD.A633.01	0.870091260085289
742	3	3	TCGA.IQ.7631.01	0.951658487649966
743	3	3	TCGA.MT.A7BN.01	0.833887629943114
744	3	3	TCGA.P3.A6T0.01	0.0678175708945219
745	3	3	TCGA.P3.A6T5.01	0.961428855171721
746	3	3	TCGA.P3.A6T7.01	0.826516232228049
747	3	3	TCGA.P3.A6T8.01	0.831066522111579
748	3	3	TCGA.QK.A6IH.01	0.951737878437306
749	3	3	TCGA.QK.A6VB.01	0.0430961042233556
750	3	3	TCGA.UF.A71A.01	0.0514198011236766
751	3	3	TCGA.UF.A71B.01	0.821202370126226
752	3	3	TCGA.UF.A7JA.01	0.0903788849386147
753	3	3	TCGA.UF.A7JC.01	0.851765578835965
754	3	3	TCGA.WA.A7GZ.01	0.964606354945049
755	3	3	TCGA.CQ.A4C7.01	0.120331520808746
756	3	3	TCGA.CN.6020.01	0.0397950463401958
757	3	3	TCGA.BB.A5HU.01	0.0364826392539934
758	3	3	TCGA.CR.7379.01	0.0419137263460438
759	3	3	TCGA.P3.A6SX.01	0.0433509001211618
760	3	3	TCGA.QK.A8Z7.01	0.0535310507834603
761	3	3	TCGA.UF.A7JD.01	0.0370664143201952
762	3	3	TCGA.MT.A67D.01	0.0384785687001953
763	3	3	TCGA.CN.5358.01	0.0940502807239726
764	3	3	TCGA.BA.A6DD.01	0.00366468163078333
765	3	3	TCGA.CN.5359.01	0.0330553772159695
766	3	3	TCGA.CR.5248.01	0.0640301503630923
767	3	3	TCGA.CR.6481.01	0.089861279449973
768	3	3	TCGA.CR.7376.01	0.0499554585477488
769	3	3	TCGA.CR.7386.01	0.0127451574939437
770	3	3	TCGA.MZ.A5BI.01	0.079890638534748
771	3	3	TCGA.CR.7373.01	0.0261344969586078
772	3	3	TCGA.CN.6013.01	0.0803459848005123
773	3	3	TCGA.CN.5369.01	0.0039232781168265
774	3	3	TCGA.CN.A6V1.01	0.0651921543535386
775	3	3	TCGA.CQ.5331.01	0.00386100386100386
776	3	3	TCGA.CR.6478.01	0.00554717410257382
777	3	3	TCGA.CV.6938.01	0.00471166353519295
778	3	3	TCGA.CV.6942.01	0.00471900471900472
779	3	3	TCGA.H7.A76A.01	0.00482625482625483
780	3	3	TCGA.TN.A7HI.01	0.0533973346728052
781	3	3	TCGA.BA.5152.01	0.00294840294840295
782	3	3	TCGA.BA.5149.01	0.00931778207182251
783	3	3	TCGA.BA.5153.01	0.0039232781168265
784	3	3	TCGA.BA.5556.01	0.00521574205784732
785	3	3	TCGA.BA.5559.01	0.00405405405405405
786	3	3	TCGA.BA.A6DJ.01	0.0346352179334812
787	3	3	TCGA.BB.4223.01	0.00467775467775468
788	3	3	TCGA.BB.7866.01	0.00354452813469207
789	3	3	TCGA.BB.A6UM.01	0.00443066016836509
790	3	3	TCGA.CN.4734.01	0.00491400491400491
791	3	3	TCGA.CN.5365.01	0.0146454062744078
792	3	3	TCGA.CN.5373.01	0.00405405405405405
793	3	3	TCGA.CN.5374.01	0.00491400491400491
794	3	3	TCGA.CN.6011.01	0.0248239289598969
795	3	3	TCGA.CN.6995.01	0.00366468163078333
796	3	3	TCGA.CN.A499.01	0.00474158368895211
797	3	3	TCGA.CN.A642.01	0.004004004004004
798	3	3	TCGA.CQ.5334.01	0.00422297297297297
799	3	3	TCGA.CQ.7063.01	0.00503893724232707
800	3	3	TCGA.CQ.7068.01	0.00343980343980344
801	3	3	TCGA.CQ.7071.01	0.00366612431829823
802	3	3	TCGA.CQ.A4C6.01	0.0036036036036036
803	3	3	TCGA.CQ.A4CD.01	0.00434362934362934
804	3	3	TCGA.CR.5243.01	0.0052422137954523
805	3	3	TCGA.CR.5249.01	0.00331910858226648
806	3	3	TCGA.CR.6467.01	0.0040950040950041
807	3	3	TCGA.CR.6470.01	0.00458085203847916
808	3	3	TCGA.CR.6471.01	0.00164064835824206
809	3	3	TCGA.CR.6480.01	0.00386100386100386
810	3	3	TCGA.CR.6482.01	0.00458085203847916
811	3	3	TCGA.CR.6487.01	0.003003003003003
812	3	3	TCGA.CR.6492.01	0.00447968550284596
813	3	3	TCGA.CR.7377.01	0.0030514385353095
814	3	3	TCGA.CR.7380.01	0.00944014831266981
815	3	3	TCGA.CR.7383.01	0.00905629681314613
816	3	3	TCGA.CR.7385.01	0.0039232781168265
817	3	3	TCGA.CR.7395.01	0.00412276683463124
818	3	3	TCGA.CR.7404.01	0.0045045045045045
819	3	3	TCGA.CV.5966.01	0.004004004004004
820	3	3	TCGA.CV.6955.01	0.00460617824457854
821	3	3	TCGA.CV.7091.01	0.004359197907585
822	3	3	TCGA.CV.7100.01	0.00415800415800416
823	3	3	TCGA.CV.7235.01	0.00583051851757122
824	3	3	TCGA.CV.7407.01	0.00343200343200343
825	3	3	TCGA.CV.7425.01	0.00379326695116169
826	3	3	TCGA.CV.7427.01	0.0039232781168265
827	3	3	TCGA.CV.7434.01	0.00457380457380457
828	3	3	TCGA.CV.A468.01	0.00434362934362934
829	3	3	TCGA.CV.A6JD.01	0.00379326695116169
830	3	3	TCGA.CV.A6JE.01	0.00481249373654437
831	3	3	TCGA.CV.A6JN.01	0.0036036036036036
832	3	3	TCGA.CV.A6JZ.01	0.0035035035035035
833	3	3	TCGA.CX.7082.01	0.0136337586328232
834	3	3	TCGA.CX.A4AQ.01	0.0025987525987526
835	3	3	TCGA.D6.6516.01	0.00366468163078333
836	3	3	TCGA.D6.A6EN.01	0.00458949515553289
837	3	3	TCGA.DQ.7596.01	0.00398759415152858
838	3	3	TCGA.F7.A624.01	0.00442260442260442
